Rangoon,http://en.wikipedia.org/wiki/Yangon#,Rangoon,,Burma,Yangon,Rangoon,16.872228,96.124888,,city/town
Medin_pur,http://www.midnapore.in/#,Medin_pur,,India,West Bengal,-9999,22.317294,87.427927,,district
West Indies,http://en.wikipedia.org/wiki/Caribbean#,West Indies,,-9999,-9999,-9999,18.395093,-66.361783,Generally includes the Caribbean Islands,region
Thailand,http://www.state.gov/r/pa/ei/bgn/2814.htm#,Thailand,,Thailand,-9999,-9999,15.81804,100.817132,,country
Ethiopia,http://www.ethiopia.gov.et/English/Pages/Home.aspx#,Ethiopia,Abyssinia,Ethiopia,-9999,-9999,9,39,,country
Suez Canal,http://www.suezcanal.gov.eg/#,Suez Canal,,Egypt,As Suways,-9999,29.931389,32.562778,,canal
Kerala,http://kerala.gov.in/#,Kerala,,India,Kerala,-9999,10.282866,76.569126,,state/province
Orissa,http://orissa.gov.in/#,Orissa,,India,Orissa,-9999,20,85,,state/province
Pondicherry,http://www.pon.nic.in/#,Pondicherry,French Pondicherry,India,Pondicherry,Pondicherry,11.924491,79.824212,,city/town
North Twenty Four Parganas,http://north24parganas.gov.in/n24p/index.php#,North Twenty Four Parganas,,India,West Bengal,-9999,22.604794,88.765479,,district
Haridwar,http://haridwar.nic.in/#,Haridwar,,India,Uttranchal,Hardwar,29.949652,78.161362,,city/town
Michigan,http://www.michigan.gov/#,Michigan,,United States of America,Michigan,-9999,43,-85,,state/province
Malaysia,http://www.state.gov/r/pa/ei/bgn/2777.htm#,Malaysia,,Malaysia,-9999,-9999,3.5,102.5,,country
Hyderabad,http://www.ghmc.gov.in/#,Hyderabad,,India,Uttar Pradesh,Hyderabad,26.768553,80.508882,,city/town
Tufts University,http://www.tufts.edu/#,Tufts University,,United States of America,Massachusetts,Medford,42.4045408,-71.1197752,,college/university
Guangzhou,http://english.gz.gov.cn/#,Guangzhou,Canton,China,Guangdong,Guangzhou,23.09075,113.290768,,city/town
Sunderban National Park,http://www.sunderbannationalpark.in/#,Sunderban National Park,,India,West Bengal,-9999,21.783336,88.808252,,park
North America,http://en.wikipedia.org/wiki/North_America#,North America,,-9999,-9999,-9999,39,-101,,continent
Mymensingh,http://en.wikipedia.org/wiki/Mymensingh#,Mymensingh,,Bangladesh,Mymensingh,Mymensingh,24.755058,90.402445,,city/town
Chennai,http://www.chennaicorporation.gov.in/links/index.htm#,Chennai,Madras,India,Tamil Nadu,Chennai,13.081828,80.283036,,city/town
Faridpur,http://en.wikipedia.org/wiki/Faridpur_District#,Faridpur,,Bangladesh,Faridpur,Faridpur,23.582754,89.802111,There is another town called Faridpur in Pabna but clues from the text indicate that it is the one that is a district headquarters.,district
Gujarat,http://www.gujaratindia.com/#,Gujarat,,India,Gujarat,-9999,22.751097,71.693232,,state/province
Egypt,http://www.sis.gov.eg/En/Default.aspx#,Egypt,,Egypt,-9999,-9999,26,29,,country
Lahore,http://www.lda.gop.pk/#,Lahore,,Pakistan,Punjab,Lahore,31.521559,74.349256,,city/town
Indonesia,http://www.indonesia.go.id/en.html#,Indonesia,Dutch East Indies,Indonesia,-9999,-9999,-0.789597,114.831638,,country
Iran,http://www.mfa.gov.ir/Default.aspx?lang=en#,Iran,Persia,Iran,-9999,-9999,31.71021,57.071112,Historic Iran also referred to as Persia,country
Turkey,http://www.state.gov/r/pa/ei/bgn/3432.htm#,Turkey,,Turkey,-9999,-9999,39.245443,31.775433,,country
Kashmir,http://en.wikipedia.org/wiki/Kashmir#,Kashmir,,-9999,-9999,-9999,34.008455,77.29639,Indian boundary under dispute. Kashmir region includes territories in Pakistan and Bangladesh as well.,region
Tufts University East Hall,http://ase.tufts.edu/southasian/#,Tufts University East Hall,,United States of America,Massachusetts,Medford,42.407659,-71.118742,Not in GE database. A placemark was set at its location.,building/structure
Indian Ocean,http://en.wikipedia.org/wiki/Indian_Ocean#,Indian Ocean,,-9999,-9999,-9999,-10,70,,ocean
Lahore University of Management Sciences,http://www.lums.edu.pk/#,Lahore University of Management Sciences,,Pakistan,Punjab,Lahore,31.470436,74.410786,,college/university
