Positivism,Positivism is a philosophy of science that holds the only authentic knowledge is that which is based on sense experience and positive verification. This positivist approach was developed by Auguste Comte in the early 19th century. This approach has been expanded upon by other philosophers and sociologists in the later centuries.,http://en.wikipedia.org/wiki/Positivism,,,,,,,,,,,,,,,,,,,,,,,,,,,,
puranik Hinduism,"Puranik Hinduism is the Hinduism that is depicted in the genre of important Hindu religious texts, Puranas. The Puranas are written in the form of stories that are related by one person to another. They stress on a particular deity and employ an abundance of religious and philosophical concepts. Puranic Hinduism is very common.",http://en.wikipedia.org/wiki/Puranas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dutch East India Company,"The Dutch East India Company was established in 1602. It was originally constituted as a chartered company, when the States-General of the Netherlands granted it a 21 year monopoly to carry out colonial activities in Asia. It was one of the first megacorporations  that had the power to issue stock and possessed several important government powers.",http://en.wikipedia.org/wiki/Dutch_East_India_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,
welfare economics,This is a branch of economics that analyzes social welfare measured in terms of economic activities of the individual. It uses microeconomic techniques to do so and also  determine the allocative efficiency and the income distribution within the society. Thus the individual units for these measurements of welfare economics are individuals.,http://en.wikipedia.org/wiki/Welfare_economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Past and Present,,http://past.oxfordjournals.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
history of mentality,,http://en.wikipedia.org/wiki/History_of_mentalities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
westernization,Westernization is a process whereby societies adopt Western culture in several different fields of life. It has become a very pervasive process and is still spreading very quickly all over the world. Westernization could be thought of when influences and interests and people wish to change to a more Western society. It could also be thought of as a result of Western expansion and colonialism of native societies.,http://en.wikipedia.org/wiki/Westernisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modernization,"Modernization is basically the transition from the pre-modern or traditional society to a modern one. This is basically the process that nations that have achieved modernity go through. Many historian link this modernity with industrialization, urbanization and the spread of education.",http://en.wikipedia.org/wiki/Modernization,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subaltern Studies,"Sublatern Studies is the field that is devoted to the study of history from below, especially realms of social life and culture that are obscured by colonial records. This term could be applied more broadly to other projects that seek to challenge dominant epistemes in the pursuit of more situated forms of knowledge.",http://en.wikipedia.org/wiki/Subaltern_Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adda,"The �??adda�?? is an intellectual gathering among members of the Bengali intelligentsia. It started off as a leisurely activity in locations such as coffee houses, and was most popular among the young middle class Bengali intelligentsia. The concept of the adda has its roots in the city of Calcutta especially during the early 20th century. In modern times the concept has become more fluid.",http://en.wikipedia.org/wiki/Adda_(South_Asian),,,,,,,,,,,,,,,,,,,,,,,,,,,,
